English,Czech,embark,nalodit
English,Czech,prior,předchozí
English,Czech,conform,přizpůsobit
English,Czech,claim,nárok
English,Czech,augmentation,zvětšení
English,Czech,augmented,rozšířený
English,Czech,dangle,klátit
English,Czech,grapple,zápasit
English,Czech,rudimentary,základní
English,Czech,daisy,sedmikráska
English,Czech,hassle,hádka
English,Czech,spawn,potěr
English,Czech,blurb,záložka
English,Czech,banging,bouchání
English,Czech,deemed,považovány za
English,Czech,abandon,opustit
English,Czech,munching,žvýkání
English,Czech,endowment,nadace
English,Czech,upside,vzhůru
English,Czech,lure,návnada
English,Czech,bunder,přistávací plocha
English,Czech,fury,zuřivost
English,Czech,harness,postroj
English,Czech,dignity,důstojnost
English,Czech,amber,jantar
English,Czech,slice,plátek
English,Czech,transpose,transponovat
English,Czech,assorted,roztříděný
English,Czech,defer,odložit
English,Czech,momentary,chvilkový
English,Czech,circumvent,obejít
English,Czech,exposure,expozice
English,Czech,deferred,odložený
English,Czech,fabric,tkanina
English,Czech,evict,vypudit
English,Czech,confined,omezený
English,Czech,interleave,vložit listy
English,Czech,deem,považovat
English,Czech,assessment,posouzení
English,Czech,offload,vyložit
Czech,English,podcenit,underestimate
English,Czech,pun,slovní hříčka
English,Czech,overwhelming,ohromující
Czech,English,kalhotky,panties
English,Czech,deemed,považuje za
English,Czech,grab,drapák
English,Czech,concerns,obavy
English,Czech,stumble,klopýtnutí
English,Czech,hush up,ututlat
English,Czech,tend,sklon
English,Czech,paper over,zaretušovat
English,Czech,assess,posoudit
English,Czech,bail out,vyskočit padákem
English,Czech,Affiliation,přičlenění
English,Czech,erratum,tisková chyba
English,Czech,bump,narazit
English,Czech,vicinity,okolí
English,Czech,burden,břemeno
English,Czech,utter,naprostý
English,Czech,domicile,trvalé bydliště
English,Czech,tangle,změť
English,Czech,apparent,zřejmý
English,Czech,along,spolu
English,Czech,apparently,zřejmě
English,Czech,omit,vynechat
English,Czech,adhere,držet
English,Czech,anyhow,v každém případě
English,Czech,novelty,novinka
English,Czech,dunno,nevím
English,Czech,cruise,plavba
English,Czech,terse,hutný
English,Czech,culprit,Viník
Czech,English,zasypany,backfilled
English,Czech,bail out,kauci
English,Czech,distortion,zkreslení
English,Czech,flaky,šupinatá
English,Czech,chit-chat,tlachání
English,Czech,defeat,porážka
English,Czech,tamper,tamper
English,Czech,culprit,viník
English,Czech,burden,zátěž
English,Czech,dig out,vykopat
English,Czech,traits,zvláštnosti
English,Czech,kudos,sláva
English,Czech,surge,přepětí
English,Czech,is adjacent,sousedí
Czech,English,kopr,dill
Czech,English,porek,leek
English,Czech,grab,grab
English,Czech,hoodie,mikina
English,Czech,wristband,náramek
English,Czech,altitude,výška
English,Czech,interstellar,mezihvězdný
English,Czech,destiny,osud
English,Czech,claim,reklamace
English,Czech,farewell,sbohem
English,Czech,remit,kompetence
English,Czech,beefy,svalnatý
English,Czech,nudge,šťouchnutí
English,Czech,outpost,základna
English,Czech,deferred,odložená
English,Czech,bits,bity
English,Czech,heck,kruci
English,Czech,whine,kňučení
English,Czech,caret,stříška
English,Czech,demanding,náročné
English,Czech,hype,hype
English,Czech,toggle,přepínač
